S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
37,Empowering Women,Women Empowerment,Sikkim,Gangtok,0,0.07,Directly by Company,FY 2022-23,Icici Bank Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2022-23,Icici Bank Limited
1,Skill Training Through Icici Academy For Skills,Livelihood Enhancement Projects,Andhra Pradesh,Ananthapuramu,0,4.1,Other implementing agencies,FY 2021-22,Icici Bank Limited
2,Covid-19 Relief,Health Care,Arunachal Pradesh,Lower Subansiri,0,100,Other implementing agencies,FY 2021-22,Icici Bank Limited
3,Water Conservation,Environmental Sustainability,Assam,Darrang,0,30.46,Other implementing agencies,FY 2021-22,Icici Bank Limited
4,Rural Livelihood Projects,Livelihood Enhancement Projects,Assam,Kamrup,0,50.48,Other implementing agencies,FY 2021-22,Icici Bank Limited
5,Social & Environmental Projects,Socio-Economic Equalities,Bihar,Pashchim Champaran,0,38.88,Other implementing agencies,FY 2021-22,Icici Bank Limited
6,Promoting Sports,Training To Promote Sports,Bihar,Patna,0,0.81,Directly by company,FY 2021-22,Icici Bank Limited
7,Rural Development And Related Activities,Rural Development Projects,Chandigarh,Chandigarh,0,34.02,Directly by company,FY 2021-22,Icici Bank Limited
8,Supporting Socially And Economically Backward Groups,Livelihood Enhancement Projects,Chhattisgarh,Raipur,0,0.15,Directly by company,FY 2021-22,Icici Bank Limited
9,Waste Management Projects,Sanitation,Chhattisgarh,Raipur,0,0.77,Directly by company,FY 2021-22,Icici Bank Limited
10,Financial Counselling,Education,Gujarat,Ahmedabad,0,0.09,Other implementing agencies,FY 2021-22,Icici Bank Limited
11,Protecting Environment,Environmental Sustainability,Gujarat,Sabar Kantha,0,0.4,Directly by company,FY 2021-22,Icici Bank Limited
12,Education,Education,Haryana,Karnal,0,0.16,Directly by company,FY 2021-22,Icici Bank Limited
13,Social Awareness,Education,Karnataka,Bengaluru Urban,0,5,Directly by company,FY 2021-22,Icici Bank Limited
14,Drinking Water Facilities,Safe Drinking Water,Madhya Pradesh,Bhopal,0,0.29,Directly by company,FY 2021-22,Icici Bank Limited
15,Covid-19 Relief,Health Care,Maharashtra,Mumbai City,0,0.66,Directly by company,FY 2021-22,Icici Bank Limited
16,Healthcare,Health Care,Maharashtra,Pune,0,0.25,Other implementing agencies,FY 2021-22,Icici Bank Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2021-22,Icici Bank Limited
1,. Facility For Providing Skill Training In Tribal Area,Gender Equality,Assam,Nec/ Not Mentioned,0,1.5,Other implementing agencies,FY 2020-21,Icici Bank Limited
2,Heritage,Art And Culture,Gujarat,Nec/ Not Mentioned,0,0.17,Other implementing agencies,FY 2020-21,Icici Bank Limited
3,Livelihood,Livelihood Enhancement Projects,Himachal Pradesh,Nec/ Not Mentioned,0,0.01,Other implementing agencies,FY 2020-21,Icici Bank Limited
4,Covid-19 Relief Activities,Health Care,Maharashtra,Mumbai City,0,0.2,Other implementing agencies,FY 2020-21,Icici Bank Limited
5,Covid-19 Relief Activities,Health Care,Maharashtra,Pune,0,0.15,Other implementing agencies,FY 2020-21,Icici Bank Limited
6,Healthcare,Health Care,Maharashtra,Pune,0,0.25,Other implementing agencies,FY 2020-21,Icici Bank Limited
7,Education,Education,Pan India,Nec/ Not Mentioned,0,1.56,Other implementing agencies,FY 2020-21,Icici Bank Limited
8,Financial Literacy And Counselling,Education,Pan India,Nec/ Not Mentioned,0,0.17,Other implementing agencies,FY 2020-21,Icici Bank Limited
9,Social Awareness Program,Education,Pan India,Nec/ Not Mentioned,5,4.94,Directly by company,FY 2020-21,Icici Bank Limited
10,Covid-19 Relief Activities,Health Care,Pan India,Nec/ Not Mentioned,0,2.6,Directly by company,FY 2020-21,Icici Bank Limited
11,Covid-19 Relief Activities,Health Care,Pan India,Nec/ Not Mentioned,20,18.43,Other implementing agencies,FY 2020-21,Icici Bank Limited
12,Social & Environmental Project,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,0,17.2,Other implementing agencies,FY 2020-21,Icici Bank Limited
13,Rural Development And Related Activities,Rural Development Projects,Pan India,Nec/ Not Mentioned,45,48.21,Directly by company,FY 2020-21,Icici Bank Limited
14,Rural Livelihood Projects,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,17.5,Other implementing agencies,FY 2020-21,Icici Bank Limited
15,Drinking Water Facilities,Safe Drinking Water,Pan India,Nec/ Not Mentioned,0,0.16,Other implementing agencies,FY 2020-21,Icici Bank Limited
16,Sanitation,Sanitation,Pan India,Nec/ Not Mentioned,0,0.16,Other implementing agencies,FY 2020-21,Icici Bank Limited
17,Waste Management Projects,Sanitation,Pan India,Nec/ Not Mentioned,0,1.36,Other implementing agencies,FY 2020-21,Icici Bank Limited
18,Skill Development Through Icici Academy For Skills,Vocational Skills,Pan India,Nec/ Not Mentioned,0,26.7,Other implementing agencies,FY 2020-21,Icici Bank Limited
19,Covid-19 Relief Activities,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,50,50,Other implementing agencies,FY 2020-21,Icici Bank Limited
20,Education,Education,Tamil Nadu,Chennai,5,5,Other implementing agencies,FY 2020-21,Icici Bank Limited
21,Environment,Environmental Sustainability,Telangana,Nec/ Not Mentioned,0,0.28,Other implementing agencies,FY 2020-21,Icici Bank Limited
22,Disaster Relief,Health Care,West Bengal,South 24 Parganas,1,0.95,Directly by company,FY 2020-21,Icici Bank Limited
23,Disaster Relief,Health Care,West Bengal,South 24 Parganas,3,3,Other implementing agencies,FY 2020-21,Icici Bank Limited
,Grand Total (INR Cr.),,,,129,0,,FY 2020-21,Icici Bank Limited
1,Financial Literacy,Education,Pan India,Nec/ Not Mentioned,0.75,1.09,By Trusts/Societies/ Section 8 company set up by company itself,FY 2019-20,Icici Bank Limited
2,Social Awareness,Education,Pan India,Nec/ Not Mentioned,25,25,Directly by company,FY 2019-20,Icici Bank Limited
3,Miscellaneous,Environmental Sustainability,Pan India,Nec/ Not Mentioned,11,2.89,Directly by company,FY 2019-20,Icici Bank Limited
4,Projects Of Icici Foundation For Inclusive Growth,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,56,26.32,By Trusts/Societies/ Section 8 company set up by company itself,FY 2019-20,Icici Bank Limited
5,Relief And Welfare In Calamity Affected Areas,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Nec/ Not Mentioned,10,26,Directly by company,FY 2019-20,Icici Bank Limited
6,Rural Development And Related Activities,Rural Development Projects,Pan India,Nec/ Not Mentioned,29.34,53.05,Directly by company,FY 2019-20,Icici Bank Limited
,Grand Total (INR Cr.),,,,132.09,0,,FY 2019-20,Icici Bank Limited
1,Relief And Welfare In Calamity Affected Areas,"Poverty, Eradicating Hunger, Malnutrition",Kerala,Thiruvananthapuram,0,10,By Trusts/Societies/Section 8 company set up by Central or State Government or entities established,FY 2018-19,Icici Bank Limited
2,Armed Forces Welfare,"Armed Forces, Veterans, War Widows/ Dependants",Pan India,Nec/ Not Mentioned,5,5,Other implementing agencies,FY 2018-19,Icici Bank Limited
3,Financial Literacy,Education,Pan India,Nec/ Not Mentioned,3.6,3.5,Other implementing agencies,FY 2018-19,Icici Bank Limited
4,Health,Health Care,Pan India,Nec/ Not Mentioned,9.64,10.52,Directly by company,FY 2018-19,Icici Bank Limited
5,Projects Of Icici Foundation For Inclusive Growth,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,38,38,By Trusts/Societies/ Section 8 company set up by company itself,FY 2018-19,Icici Bank Limited
6,Rural Development And Related Activities,Rural Development Projects,Pan India,Nec/ Not Mentioned,10,11.74,Directly by company,FY 2018-19,Icici Bank Limited
7,Education,Women Empowerment,Pan India,Nec/ Not Mentioned,1.6,1.6,Directly by company,FY 2018-19,Icici Bank Limited
8,Miscellaneous,Swachh Bharat Kosh,Pan India (Other Centralized Funds),Nec/ Not Mentioned,41.16,1.84,Directly by company,FY 2018-19,Icici Bank Limited
9,Education & Research,Education,Tamil Nadu,Chennai,10,10,Other implementing agencies,FY 2018-19,Icici Bank Limited
,Grand Total (INR Cr.),,,,119,0,,FY 2018-19,Icici Bank Limited
1,Armed Forces Welfare,"Armed Forces, Veterans, War Widows/ Dependants",Pan India,Nec/ Not Mentioned,0,5,Other implementing agencies,FY 2017-18,Icici Bank Limited
2,Financial Literacy,Education,Pan India,Nec/ Not Mentioned,3,3,Other implementing agencies,FY 2017-18,Icici Bank Limited
3,Miscellaneous,Health Care,Pan India,Nec/ Not Mentioned,6.3,2.31,Other implementing agencies,FY 2017-18,Icici Bank Limited
4,Projects Of Icici Foundation For Inclusive Growth,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,52,56,By Trusts/Societies/Section 8 company set up by Central or State Government or entities established,FY 2017-18,Icici Bank Limited
5,Rural Development And Related Activities,Rural Development Projects,Pan India,Nec/ Not Mentioned,110.59,104.06,Directly by company,FY 2017-18,Icici Bank Limited
,Grand Total (INR Cr.),,,,171.89,0,,FY 2017-18,Icici Bank Limited
1,Financial Counsellling,Education,Pan India,Nec/ Not Mentioned,0.8,0.93,Other implementing agencies,FY 2016-17,Icici Bank Limited
2,Miscellaneous,Health Care,Pan India,Nec/ Not Mentioned,6.3,3.61,Other implementing agencies,FY 2016-17,Icici Bank Limited
3,Projects Of Icici Foundation For Inclusive Growth,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,58,47.5,By Trusts/Societies/ Section 8 company set up by company itself,FY 2016-17,Icici Bank Limited
4,"Rural Development Projects Including Digital Village Initiative, Financial Inclusion And Financial L",Rural Development Projects,Pan India,Nec/ Not Mentioned,137,130.33,Directly by company,FY 2016-17,Icici Bank Limited
,Grand Total (INR Cr.),,,,202.1,0,,FY 2016-17,Icici Bank Limited
1,Education,Education,Pan India,Nec/ Not Mentioned,1.5,0.77,Nec/ Not mentioned,FY 2015-16,Icici Bank Limited
2,Education,Education,Pan India,Nec/ Not Mentioned,5.4,0.51,Nec/ Not mentioned,FY 2015-16,Icici Bank Limited
3,Livelihood Enhancement Projects,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,0,1,Nec/ Not mentioned,FY 2015-16,Icici Bank Limited
4,Others,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,4.1,0.61,Nec/ Not mentioned,FY 2015-16,Icici Bank Limited
5,Rural Development Projects,Rural Development Projects,Pan India,Nec/ Not Mentioned,140,119.66,Nec/ Not mentioned,FY 2015-16,Icici Bank Limited
6,Pm National Relief Fund,Prime Minister'S National Relief Fund,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0,3.87,Nec/ Not mentioned,FY 2015-16,Icici Bank Limited
7,Healthcare,Health Care,Rajasthan,Jaipur,0,0.09,Nec/ Not mentioned,FY 2015-16,Icici Bank Limited
8,"Education, Vocational Skills, Livelihood Enhancement Projects, Poverty, Hunger & Malnutrition, Healt",Nec/ Not Mentioned,Rajasthan,Nec/ Not Mentioned,45,45,Nec/ Not mentioned,FY 2015-16,Icici Bank Limited
,Grand Total (INR Cr.),,,,196,0,,FY 2015-16,Icici Bank Limited
1,Education,Education,Gujarat,Ahmedabad,5.3,5.4,Other implementing agencies,FY 2014-15,Icici Bank Limited
2,Vocational Skills,Vocational Skills,Karnataka,Udupi,1.7,1.57,Directly by company,FY 2014-15,Icici Bank Limited
3,Health Care,Health Care,Maharashtra,Mumbai City,0.62,0.62,Other implementing agencies,FY 2014-15,Icici Bank Limited
4,Education,Education,Pan India,Nec/ Not Mentioned,1.5,0.92,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Icici Bank Limited
5,Education,Education,Pan India,Nec/ Not Mentioned,0.59,0.59,Nec/ Not mentioned,FY 2014-15,Icici Bank Limited
6,Environmental Sustainability,Environmental Sustainability,Pan India,Nec/ Not Mentioned,3.23,2.89,Directly by company,FY 2014-15,Icici Bank Limited
7,Livelihood Enhancement Projects,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,41.28,26,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Icici Bank Limited
8,Rural Development Projects,Rural Development Projects,Pan India,Nec/ Not Mentioned,130,113.77,Directly by company,FY 2014-15,Icici Bank Limited
9,Prime Minister National Relief Fund,Prime Minister'S National Relief Fund,Pan India (Other Centralized Funds),Nec/ Not Mentioned,3.7,3.78,Directly by company,FY 2014-15,Icici Bank Limited
,Grand Total (INR Cr.),,,,187.92,0,,FY 2014-15,Icici Bank Limited
1,Mitigation Measures To Reduce Man-Animal Conflict In Chittoor,Animal Welfare,Andhra Pradesh,Chittoor,0,0.15,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
2,"Additional Class Rooms & Compound Wall, Mannasamudram, Chittoor",Education,Andhra Pradesh,Chittoor,0,0.48,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
3,Medical Equipment For Sri Venkateswara Institute Of Medical Sciences (Svims),Health Care,Andhra Pradesh,Chittoor,0,7.75,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
4,Construction Of Village Road(0.86 Kms Ckt Road To Chgarapalli Mitta),Rural Development Projects,Andhra Pradesh,Chittoor,0,0.24,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
5,Swach Bharat Abhiyan - Model Village Project -Manasamudram,Sanitation,Andhra Pradesh,Chittoor,0,0.08,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
6,"Medical Equipment, Spirometer For Govt. Hospital, Kakinada",Health Care,Andhra Pradesh,East Godavari,0,0.12,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
7,Project Sehat : Upgradation Of Medical Infrastructure At 02 Chcs,Health Care,Andhra Pradesh,East Godavari,0,0.27,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
8,"Project Sehat : Enhancing Advanced Health Care Infrastructure At Area Hospital, Narasaraopet, Palnad",Health Care,Andhra Pradesh,Guntur,0,0.24,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
9,Project Samarth : Providing Aids & Assistive Devices To Divyangjans,Health Care,Andhra Pradesh,Nec/ Not Mentioned,0,0.65,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
10,"Medical Equipment (Ct-Scan) Jayabharat Hospital, Svss Trust",Health Care,Andhra Pradesh,Sri Potti Sriramulu Nellore,0,2.08,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
11,Mobile Kangaroo Mother Care & Medical Equipment For Vasantha Lakshmi Charitable Trust-Nellore,Health Care,Andhra Pradesh,Sri Potti Sriramulu Nellore,0,0.57,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
12,Project Daksh : Skilling Of 75 Unemployed Youth Based On Skill Gap Analysis,Vocational Skills,Andhra Pradesh,Srikakulam,0,0.65,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
13,Medical Equipment For Tmc - Vizag (2022-23),Health Care,Andhra Pradesh,Visakhapatnam,0,1.07,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
14,Medical Equipment For Tmc - Vizag (2023-24),Health Care,Andhra Pradesh,Visakhapatnam,0,2.41,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
15,Project Samarth : Providing Aids & Assistive Devices To Divyangjans (With Connect To Andhra),Health Care,Andhra Pradesh,Visakhapatnam,0,0.4,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
16,"Kitchen Equipment For Akshya Patra, Vizag","Poverty, Eradicating Hunger, Malnutrition",Andhra Pradesh,Visakhapatnam,0,0.2,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
17,Project Poshan : Providing Nutritious Meals And Spreading Health & Nutrition Awareness In 07 Governm,"Poverty, Eradicating Hunger, Malnutrition",Andhra Pradesh,Visakhapatnam,0,0.26,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
18,"Dinining Hall, Ro Water Plant, Kitchen Shed Etc; For Gvmc High School, Malkapuram",Safe Drinking Water,Andhra Pradesh,Visakhapatnam,0,0.46,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
19,"Contribution Towards Skill Development Institutes, Visakhapatnam: Opex",Vocational Skills,Andhra Pradesh,Visakhapatnam,0,0.5,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
20,"Mortuary And Body Freezers - Chc, Cheepurupalli",Sanitation,Andhra Pradesh,Vizianagaram,0,0.48,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
21,Medical Equipment And Supportive Infrastructure For Kangaroo Mother Care & Human Milk Bank For Urban,Health Care,Andhra Pradesh,Y.S.R.,0,0.12,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
22,Measuring Equipment For 297 Anganwadis Under Icds In YsrABCD Kadapa District,"Poverty, Eradicating Hunger, Malnutrition",Andhra Pradesh,Y.S.R.,0,0.04,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
23,"Renovation Of Existing Drainage System At Rk Mission Narottam Nagar, Deomali, Arunachal Pradesh",Sanitation,Arunachal Pradesh,Changlang,0,0.01,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
24,"Construction Of Skating Ring And Adventure Cycling Space At Miao, Changlang, Arunachal Pradesh",Training To Promote Sports,Arunachal Pradesh,Changlang,0,0.09,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
25,Csr Work At Nani Maria Society Roint Ap: 32 Seater Bus And Generator For Inmates Of Child Care Insti,Education,Arunachal Pradesh,Dibang Valley,0,0.39,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
26,"Providing Medical Equipment For Chc, Mahadevpur -Aspirational District",Health Care,Arunachal Pradesh,Lohit,0,0.07,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
27,"Providing X-Ray Machine With Complete Cr System At Chc-Chowkham,Namsai & District Hospital - Namsai",Health Care,Arunachal Pradesh,Lohit,0,0.01,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
28,Provision Of Learning Materials For The Childcare Institute Of Nani Maria Society,Education,Arunachal Pradesh,Lower Dibang Valley,0,0.16,Directly by Company,FY 2023-24,Indian Oil Corporation Limited
29,Assistance For Procurement And Supply Of Medical Equipments And Ambulance At Ramakrishna Mission Hos,Health Care,Arunachal Pradesh,Papum Pare,0,0.01,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
30,Awareness Program To Improve Different Indicators On Maternal And Child Health And Distribution Of N,Health Care,Assam,Barpeta,0,0.42,Other Implementing agencies,FY 2023-24,Indian Oil Corporation Limited
